name,symptoms,precautions,treatments,medicine
Flu,"Fever, Cough, Sore throat, Runny nose, Body aches","Wash hands regularly, Avoid close contact with sick people, Stay home when sick","Rest, Hydration, Over-the-counter medications","Oseltamivir (Tamiflu), Zanamivir"
Common Cold,"Sneezing, Runny nose, Cough, Sore throat","Wash hands frequently, Avoid close contact with sick individuals","Rest, Hydration, Decongestants","Pseudoephedrine (Sudafed), Ibuprofen"
COVID-19,"Fever, Cough, Shortness of breath, Loss of taste or smell","Wear masks, Maintain social distance, Wash hands frequently","Rest, Hydration, Antivirals","Remdesivir, Dexamethasone"
Diabetes,"Increased thirst, Frequent urination, Extreme fatigue, Blurred vision","Healthy diet, Regular exercise, Monitor blood sugar levels","Insulin therapy, Oral medications, Diet management","Metformin, Insulin (Humalog, Lantus)"
Asthma,"Wheezing, Shortness of breath, Chest tightness, Coughing","Avoid triggers, Use inhalers as prescribed, Regular check-ups","Inhalers, Corticosteroids, Bronchodilators","Albuterol, Fluticasone"
Hypertension,"Headaches, Shortness of breath, Nosebleeds","Limit salt intake, Regular exercise, Avoid stress","Antihypertensive medications, Lifestyle changes","Lisinopril, Amlodipine"
Heart Disease,"Chest pain, Shortness of breath, Fatigue","Healthy diet, Regular exercise, Avoid smoking","Medications, Lifestyle changes, Surgery if necessary","Aspirin, Atorvastatin, Nitroglycerin"
Allergies,"Sneezing, Itchy eyes, Runny nose, Rash","Avoid allergens, Keep windows closed during pollen season","Antihistamines, Steroid nasal sprays","Loratadine (Claritin), Fluticasone"
Pneumonia,"Cough, Fever, Chills, Difficulty breathing","Get vaccinated, Avoid smoking, Practice good hygiene","Antibiotics, Cough medicine, Hospital care if severe","Amoxicillin, Azithromycin"
Gastroenteritis,"Diarrhea, Vomiting, Stomach cramps","Wash hands, Avoid contaminated food and water","Hydration, Antidiarrheal medications","Loperamide (Imodium), Oral rehydration salts"
Migraine,"Severe headache, Nausea, Sensitivity to light","Identify triggers, Manage stress, Stay hydrated","Pain relievers, Preventive medications","Sumatriptan, Propranolol"
Arthritis,"Joint pain, Stiffness, Swelling","Regular exercise, Healthy weight, Physical therapy","Pain relievers, Anti-inflammatory drugs","Ibuprofen, Methotrexate"
Osteoporosis,"Bone fractures, Loss of height, Back pain","Calcium and vitamin D intake, Weight-bearing exercises","Medications, Supplements, Physical therapy","Alendronate, Calcium, Vitamin D"
Chronic Kidney Disease,"Fatigue, Swelling, Changes in urination","Healthy diet, Stay hydrated, Regular check-ups","Medications, Dialysis in advanced cases","Erythropoietin, Phosphate binders"
Anemia,"Fatigue, Weakness, Pale skin","Iron-rich diet, Regular check-ups","Iron supplements, Dietary changes","Ferrous sulfate, Vitamin B12"
Thyroid Disorders,"Fatigue, Weight changes, Mood swings","Regular check-ups, Healthy diet","Hormone replacement therapy, Medications","Levothyroxine, Liothyronine"
Psoriasis,"Red patches of skin, Itching, Scaly skin","Avoid triggers, Moisturize regularly","Topical treatments, Light therapy","Adalimumab (Humira), Calcipotriene"
Eczema,"Itchy skin, Red or brown patches, Dry skin","Moisturize regularly, Avoid irritants","Topical steroids, Antihistamines","Hydrocortisone, Tacrolimus"
Hepatitis,"Fatigue, Jaundice, Abdominal pain","Avoid sharing needles, Safe sex practices","Antiviral medications, Lifestyle changes","Tenofovir, Interferon"
Tuberculosis,"Persistent cough, Chest pain, Coughing up blood","Stay away from infected individuals, Vaccination","Antibiotics, Long-term treatment","Isoniazid, Rifampin"
Malaria,"Fever, Chills, Sweats, Headaches","Use mosquito nets, Take antimalarial medication","Antimalarial drugs, Supportive care","Chloroquine, Artemisinin"
Dengue Fever,"High fever, Severe headache, Joint pain","Use mosquito repellent, Eliminate standing water","Pain relievers, Supportive care","Acetaminophen, Hydration therapy"
Cholera,"Severe diarrhea, Vomiting, Dehydration","Drink clean water, Wash hands regularly","Rehydration solutions, Antibiotics if severe","Doxycycline, Zinc supplements"
HIV/AIDS,"Fever, Fatigue, Swollen lymph nodes","Practice safe sex, Regular testing","Antiretroviral therapy, Regular check-ups","Tenofovir, Emtricitabine"
Gout,"Intense joint pain, Swelling, Redness","Limit alcohol intake, Avoid high-purine foods","Pain relievers, Lifestyle changes","Allopurinol, Colchicine"
Acid Reflux,"Heartburn, Regurgitation, Chest pain","Eat smaller meals, Avoid trigger foods","Antacids, Proton pump inhibitors","Omeprazole, Ranitidine"
Celiac Disease,"Diarrhea, Bloating, Fatigue","Avoid gluten, Regular check-ups","Gluten-free diet, Supplements","Vitamin B12, Calcium supplements"
Irritable Bowel Syndrome,"Abdominal pain, Bloating, Diarrhea","Healthy diet, Regular exercise","Medications, Lifestyle changes","Linaclotide, Peppermint oil"
Parkinson's Disease,"Tremors, Stiffness, Slowness of movement","Stay active, Regular check-ups","Medications, Physical therapy","Levodopa, Carbidopa"
Multiple Sclerosis,"Fatigue, Difficulty walking, Numbness","Stay active, Avoid extreme temperatures","Medications, Physical therapy","Interferon beta, Glatiramer acetate"
Alzheimer's Disease,"Memory loss, Confusion, Difficulty completing tasks","Maintain mental activity, Regular check-ups","Medications, Supportive care","Donepezil, Memantine"
Bipolar Disorder,"Mood swings, Energy changes, Sleep disturbances","Regular therapy, Healthy lifestyle","Medications, Counseling","Lithium, Lamotrigine"
Depression,"Persistent sadness, Loss of interest, Fatigue","Regular exercise, Healthy diet, Seek help","Antidepressants, Therapy","Sertraline, Fluoxetine"
Anxiety Disorders,"Excessive worry, Restlessness, Fatigue","Practice relaxation techniques, Seek help","Therapy, Medications","Alprazolam, Buspirone"
Schizophrenia,"Hallucinations, Delusions, Disorganized thinking","Regular medication, Supportive environment","Antipsychotic medications, Therapy","Risperidone, Clozapine"
Autism Spectrum Disorder,"Social challenges, Communication difficulties","Structured routines, Supportive environment","Therapies, Support services","Speech therapy, Behavioral therapy"
Obsessive-Compulsive Disorder,"Obsessions, Compulsions, Anxiety","Seek therapy, Medication if needed","Cognitive behavioral therapy, Medications","Fluoxetine, Clomipramine"
Post-Traumatic Stress Disorder,"Flashbacks, Anxiety, Avoidance","Therapy, Support networks","Counseling, Medications","Sertraline, Prazosin"
Sleep Apnea,"Loud snoring, Gasping for air, Daytime fatigue","Maintain a healthy weight, Avoid alcohol","CPAP machines, Lifestyle changes","Modafinil, CPAP therapy"
